,artist,track,song-popularity,album,duration,artist-popularity,artist-url
0,Chumbawamba,Tubthumping,71.0,Tubthumper,4:39,53,https://open.spotify.com/artist/0TcYeHEK9sBtv7xPbKhzHz
1,Chumbawamba,Tubthumping,56.0,All-Star Sports...,3:32,53,https://open.spotify.com/artist/0TcYeHEK9sBtv7xPbKhzHz
2,Chumbawamba,El Fusilado,38.0,The Boy Bands H...,2:32,53,https://open.spotify.com/artist/0TcYeHEK9sBtv7xPbKhzHz
3,Chumbawamba,Timebomb,38.0,Anarchy,3:41,53,https://open.spotify.com/artist/0TcYeHEK9sBtv7xPbKhzHz
0,Silentó,Watch Me (Whip / Nae...,67.0,Watch Me (Whip ...,3:05,47,https://open.spotify.com/artist/7juKTDFlPesGeWQ1GmjmOv
1,Silentó,Watch Me (Whip / Nae...,32.0,Watch Me (Whip ...,4:10,47,https://open.spotify.com/artist/7juKTDFlPesGeWQ1GmjmOv
2,Silentó,Watch Me (Whip / Nae...,25.0,Watch Me (Whip ...,3:25,47,https://open.spotify.com/artist/7juKTDFlPesGeWQ1GmjmOv
3,Silentó,SPOTLIGHT,23.0,SPOTLIGHT,3:06,47,https://open.spotify.com/artist/7juKTDFlPesGeWQ1GmjmOv
0,The Beatles,Here Comes The Sun -...,85.0,Abbey Road (Rem...,3:06,81,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
1,The Beatles,Come Together - Rema...,80.0,Abbey Road (Rem...,4:20,81,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
2,The Beatles,Let It Be - Remaster...,79.0,Let It Be (Rema...,4:03,81,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
3,The Beatles,Yesterday - Remaster...,78.0,Help! (Remaster...,2:06,81,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
0,Taylor Swift,Cruel Summer,99.0,Lover,2:58,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
1,Taylor Swift,Anti-Hero,93.0,Midnights,3:21,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
2,Taylor Swift,Blank Space,83.0,1989,3:52,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
3,Taylor Swift,Style,83.0,1989,3:51,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
4,Taylor Swift,august,92.0,folklore,4:22,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
5,Taylor Swift,cardigan,92.0,folklore,3:60,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
6,Taylor Swift,Karma,90.0,Midnights,3:25,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
7,Taylor Swift,I Can See You (Taylo...,92.0,Speak Now (Tayl...,4:33,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
8,Taylor Swift,Don’t Blame Me,91.0,reputation,3:56,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
9,Taylor Swift,Lover,91.0,Lover,3:41,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
0,John Cage,In a Landscape,45.0,Der Bote,8:52,35,https://open.spotify.com/artist/1Z3fF5lZdCM0ZHugkGoH8s
1,John Cage,Apartment House 1776...,39.0,Cage: The Works...,0:41,35,https://open.spotify.com/artist/1Z3fF5lZdCM0ZHugkGoH8s
2,John Cage,In A Landscape,36.0,Cage: Early Pia...,12:48,35,https://open.spotify.com/artist/1Z3fF5lZdCM0ZHugkGoH8s
3,John Cage,The Seasons: 9. Fina...,35.0,Cage: Early Pia...,1:09,35,https://open.spotify.com/artist/1Z3fF5lZdCM0ZHugkGoH8s
4,John Cage,Sonatas and Interlud...,35.0,Cage: Sonatas a...,1:52,35,https://open.spotify.com/artist/1Z3fF5lZdCM0ZHugkGoH8s
5,John Cage,In a Landscape (1948...,34.0,In a Landscape:...,9:43,35,https://open.spotify.com/artist/1Z3fF5lZdCM0ZHugkGoH8s
